,Sl No,Date,Conc of K,Ca,Mg,Na,K,B,CO_3,HCO_3,SO_4,Cl,NO3_N,P,pH,Conductivity,Hardness_grains of CACO_3,Hardness_ppm,Alkalinity,TDS,SAR,Zn,Mn,CB
9,6.0,2022-04-29 00:00:00,100.0,74.0,23.0,14.0,230.0,0.21,0.0,6.0,81.0,5.0,87.76,51.19,5.12,1039.0,16.0,278.0,5.0,572.0,0.4,0.05,0.16,147.0
10,6.5,Date,100,94.0,26.5,12.0,230.0,0.26,0.0,7.5,93.0,5.0,84.065,49.11,5.29,1034.0,20.0,343.5,6.5,601.5,0.30000000000000004,0.055,0.20500000000000002,161.5
11,7.0,2022-05-02 00:00:00,100.0,114.0,30.0,10.0,230.0,0.31,0.0,9.0,105.0,5.0,80.37,47.03,5.46,1029.0,24.0,409.0,8.0,631.0,0.2,0.06,0.25,176.0
12,7.5,Date,100,112.5,30.0,7.0,196.5,0.3,0.0,5.5,102.5,2.85,73.64,45.019999999999996,4.93,972.0,23.5,404.0,5.0,576.5,0.15000000000000002,0.05,0.22999999999999998,177.0
13,8.0,2022-05-06 00:00:00,100.0,111.0,30.0,4.0,163.0,0.29,0.0,2.0,100.0,0.7,66.91,43.01,4.4,915.0,23.0,399.0,2.0,522.0,0.1,0.04,0.21,178.0
14,8.5,Date,100,131.5,30.0,3.5,106.5,0.345,0.0,5.0,130.0,0.7,56.099999999999994,41.22,4.720000000000001,845.0,26.0,451.0,4.0,505.5,0.1,0.025,0.135,174.0
15,9.0,2022-05-16 00:00:00,100.0,152.0,30.0,3.0,50.0,0.4,0.0,8.0,160.0,0.7,45.29,39.43,5.04,775.0,29.0,503.0,6.0,489.0,0.1,0.01,0.06,170.0
16,9.5,Date,100,142.0,31.0,2.5,99.0,0.35,0.0,5.0,140.5,0.7,60.42,48.6,4.6899999999999995,900.0,28.0,483.5,4.0,530.5,0.05,0.015,0.095,167.5
17,10.0,2022-05-18 00:00:00,100.0,132.0,32.0,2.0,148.0,0.3,0.0,2.0,121.0,0.7,75.55,57.77,4.34,1025.0,27.0,464.0,2.0,572.0,0.0,0.02,0.13,165.0
0,1.0,2022-04-29 00:00:00,200.0,118.0,28.0,12.0,278.0,0.32,0.0,8.0,105.0,5.0,84.64,79.45,5.07,1123.0,24.0,408.0,7.0,719.0,0.3,0.05,0.7,185.0
1,1.5,Date,200,117.5,29.0,10.5,253.5,0.315,0.0,5.5,104.5,5.0,80.91,77.455,4.78,1100.5,24.0,410.5,5.0,684.0,0.25,0.055,0.845,184.5
2,2.0,2022-05-02 00:00:00,200.0,117.0,30.0,9.0,229.0,0.31,0.0,3.0,104.0,5.0,77.18,75.46,4.49,1078.0,24.0,413.0,3.0,649.0,0.2,0.06,0.99,184.0
3,2.5,Date,200,117.0,30.0,6.0,182.5,0.3,0.0,1.5,103.0,2.85,63.425000000000004,74.38499999999999,4.195,954.0,24.0,413.5,1.5,580.5,0.15000000000000002,0.05,1.08,196.0
4,3.0,2022-05-06 00:00:00,200.0,117.0,30.0,3.0,136.0,0.29,0.0,0.0,102.0,0.7,49.67,73.31,3.9,830.0,24.0,414.0,0.0,512.0,0.1,0.04,1.17,208.0
5,3.5,Date,200,114.0,31.0,3.0,101.5,0.33499999999999996,0.0,0.0,128.5,0.85,40.215,73.275,3.87,769.5,24.0,411.5,0.0,493.5,0.1,0.025,0.6599999999999999,195.5
6,4.0,2022-05-16 00:00:00,200.0,111.0,32.0,3.0,67.0,0.38,0.0,0.0,155.0,1.0,30.76,73.24,3.84,709.0,24.0,409.0,0.0,475.0,0.1,0.01,0.15,183.0
7,4.5,Date,200,115.0,35.5,2.5,119.0,0.36,0.0,0.0,149.5,0.85,47.985,88.57499999999999,3.815,881.0,25.5,434.5,0.0,560.5,0.05,0.015,0.13,180.5
8,5.0,2022-05-18 00:00:00,200.0,119.0,39.0,2.0,171.0,0.34,0.0,0.0,144.0,0.7,65.21,103.91,3.79,1053.0,27.0,460.0,0.0,646.0,0.0,0.02,0.11,178.0
18,11.0,2022-04-29 00:00:00,300.0,72.0,21.0,13.0,301.0,0.24,0.0,7.0,76.0,5.0,94.43,110.04,4.67,1182.0,16.0,266.0,6.0,699.0,0.4,0.08,0.15,159.0
19,11.5,Date,300,91.0,24.5,11.0,280.0,0.29000000000000004,0.0,77.5,86.5,5.0,83.6,104.045,6.275,1107.5,19.5,327.0,63.5,763.0,0.30000000000000004,0.1,0.195,155.0
20,12.0,2022-05-02 00:00:00,300.0,110.0,28.0,9.0,259.0,0.34,0.0,148.0,97.0,5.0,72.77,98.05,7.88,1033.0,23.0,388.0,121.0,827.0,0.2,0.12,0.24,151.0
21,12.5,Date,300,110.0,28.0,6.0,223.0,0.335,0.0,74.0,96.5,2.85,63.055,98.445,5.859999999999999,959.0,23.0,388.5,60.5,702.0,0.15000000000000002,0.095,0.275,184.0
22,13.0,2022-05-06 00:00:00,300.0,110.0,28.0,3.0,187.0,0.33,0.0,0.0,96.0,0.7,53.34,98.84,3.84,885.0,23.0,389.0,0.0,577.0,0.1,0.07,0.31,217.0
23,13.5,Date,300,131.5,31.5,2.5,169.5,0.38,0.0,0.0,128.0,0.7,51.775000000000006,119.405,3.955,935.0,27.0,459.0,0.0,635.5,0.05,0.04000000000000001,0.195,213.5
24,14.0,2022-05-16 00:00:00,300.0,153.0,35.0,2.0,152.0,0.43,0.0,0.0,160.0,0.7,50.21,139.97,4.07,985.0,31.0,529.0,0.0,694.0,0.0,0.01,0.08,210.0
25,14.5,Date,300,158.0,37.0,2.0,213.5,0.405,0.0,5.5,156.5,0.7,62.42,161.08499999999998,4.59,1104.5,32.0,548.5,4.5,797.5,0.0,0.015,0.08499999999999999,210.5
26,15.0,2022-05-18 00:00:00,300.0,163.0,39.0,2.0,275.0,0.38,0.0,11.0,153.0,0.7,74.63,182.2,5.11,1224.0,33.0,568.0,9.0,901.0,0.0,0.02,0.09,211.0
