,Sl No,Date,Conc of Mg,Ca,Mg,Na,K,B,CO_3,HCO_3,SO_4,Cl,NO3_N,P,pH,Conductivity,Hardness_grains of CACO_3,Hardness_ppm,Alkalinity,TDS,SAR,Zn,Mn,CB
0,1.0,2022-04-29 00:00:00,30.0,74.0,49.0,14.0,181.0,0.25,0.0,124.0,76.0,6.0,91.54,17.27,5.92,1145.0,23.0,388.0,102.0,633.0,0.3,0.03,0.13,126.0
1,1.5,Date,50,92.5,57.5,11.5,174.5,0.28500000000000003,0.0,123.5,86.5,5.5,84.66,15.955,6.665,1076.5,27.5,468.0,101.0,652.0,0.25,0.03,0.0675,143.5
2,2.0,2022-05-02 00:00:00,30.0,111.0,66.0,9.0,168.0,0.32,0.0,123.0,97.0,5.0,77.78,14.64,7.41,1008.0,32.0,548.0,100.0,671.0,0.2,0.03,0.005,161.0
3,2.5,Date,50,111.0,66.0,6.0,131.0,0.315,0.0,134.0,96.0,2.85,67.695,11.315000000000001,7.390000000000001,948.5,32.0,548.5,109.5,626.5,0.15000000000000002,0.02,0.005,160.0
4,3.0,2022-05-06 00:00:00,30.0,111.0,66.0,3.0,94.0,0.31,0.0,145.0,95.0,0.7,57.61,7.99,7.37,889.0,32.0,549.0,119.0,582.0,0.1,0.01,0.005,159.0
5,3.5,Date,50,124.5,68.5,3.0,60.0,0.375,0.0,213.5,123.0,0.7,42.435,5.9,7.470000000000001,829.0,34.5,593.0,175.0,642.5,0.05,0.0075,0.005,149.0
6,4.0,2022-05-16 00:00:00,30.0,138.0,71.0,3.0,26.0,0.44,0.0,282.0,151.0,0.7,27.26,3.81,7.57,769.0,37.0,637.0,231.0,703.0,0.0,0.005,0.005,139.0
7,4.5,Date,50,142.5,79.0,3.5,53.5,0.435,0.0,256.5,150.0,0.7,49.355000000000004,6.635,7.655,914.5,39.5,681.5,210.5,742.5,0.05,0.022500000000000003,0.005,139.0
8,5.0,2022-05-18 00:00:00,30.0,147.0,87.0,4.0,81.0,0.43,0.0,231.0,149.0,0.7,71.45,9.46,7.74,1060.0,42.0,726.0,190.0,782.0,0.1,0.04,0.005,139.0
9,6.0,2022-04-29 00:00:00,50.0,70.0,70.0,14.0,176.0,0.32,0.0,206.0,76.0,7.0,88.34,17.33,6.12,1214.0,27.0,463.0,169.0,725.0,0.3,0.04,0.16,125.0
10,6.5,Date,50,90.5,84.0,11.0,160.0,0.375,0.0,246.0,88.5,6.0,80.945,15.474999999999998,7.0649999999999995,1171.5,33.5,571.0,201.5,782.5,0.2,0.03,0.15000000000000002,134.5
11,7.0,2022-05-02 00:00:00,50.0,111.0,98.0,8.0,144.0,0.43,0.0,286.0,101.0,5.0,73.55,13.62,8.01,1129.0,40.0,679.0,234.0,840.0,0.1,0.02,0.14,144.0
12,7.5,Date,50,110.0,98.0,5.5,111.5,0.42,0.0,304.0,98.5,2.85,57.06,10.445,7.904999999999999,1026.5,39.5,677.0,249.0,798.0,0.1,0.015,0.07250000000000001,148.5
13,8.0,2022-05-06 00:00:00,50.0,109.0,98.0,3.0,79.0,0.41,0.0,322.0,96.0,0.7,40.57,7.27,7.8,924.0,39.0,675.0,264.0,756.0,0.1,0.01,0.005,153.0
14,8.5,Date,50,118.0,105.0,3.0,45.5,0.46499999999999997,0.0,404.5,113.5,0.7,28.42,5.22,8.0,867.0,42.0,727.5,332.0,824.5,0.05,0.0075,0.005,143.5
15,9.0,2022-05-16 00:00:00,50.0,127.0,112.0,3.0,12.0,0.52,0.0,487.0,131.0,0.7,16.27,3.17,8.2,810.0,45.0,780.0,400.0,893.0,0.0,0.005,0.005,134.0
16,9.5,Date,50,144.0,127.0,3.0,35.0,0.5700000000000001,0.0,496.0,143.5,0.7,35.75,4.154999999999999,8.2,978.5,51.5,884.5,407.0,990.0,0.0,0.0125,0.005,136.0
17,10.0,2022-05-18 00:00:00,50.0,161.0,142.0,3.0,58.0,0.62,0.0,505.0,156.0,0.7,55.23,5.14,8.2,1147.0,58.0,989.0,414.0,1087.0,0.0,0.02,0.005,138.0
18,11.0,2022-04-29 00:00:00,70.0,72.0,88.0,13.0,179.0,0.23,0.0,286.0,75.0,7.0,95.0,17.46,6.16,1347.0,32.0,542.0,234.0,834.0,0.2,0.03,0.15,121.0
19,11.5,Date,70,98.0,111.5,10.5,173.5,0.275,0.0,328.5,91.5,5.5,84.39500000000001,15.82,6.915,1298.5,41.0,704.0,269.0,920.0,0.15000000000000002,0.03,0.14,140.5
20,12.0,2022-05-02 00:00:00,70.0,124.0,135.0,8.0,168.0,0.32,0.0,371.0,108.0,4.0,73.79,14.18,7.67,1250.0,50.0,866.0,304.0,1006.0,0.1,0.03,0.13,160.0
21,12.5,Date,70,121.0,134.0,5.5,147.5,0.315,0.0,411.0,104.5,2.35,66.5,11.815,7.87,1191.0,49.5,853.5,336.5,1004.5,0.05,0.025,0.0675,153.5
22,13.0,2022-05-06 00:00:00,70.0,118.0,133.0,3.0,127.0,0.31,0.0,451.0,101.0,0.7,59.21,9.45,8.07,1132.0,49.0,841.0,369.0,1003.0,0.0,0.02,0.005,147.0
23,13.5,Date,70,125.5,145.5,3.0,75.0,0.33999999999999997,0.0,572.5,116.5,2.3499999999999996,37.49,6.3549999999999995,8.190000000000001,1052.0,53.0,911.5,471.0,1085.5,0.0,0.0125,0.005,139.5
24,14.0,2022-05-16 00:00:00,70.0,133.0,158.0,3.0,23.0,0.37,2.0,694.0,132.0,4.0,15.77,3.26,8.31,972.0,57.0,982.0,573.0,1168.0,0.0,0.005,0.005,132.0
25,14.5,Date,70,144.5,180.0,3.0,48.5,0.41000000000000003,0.0,347.0,147.0,2.35,27.03,4.335,8.335,1115.5,64.0,1101.0,290.0,907.5,0.0,0.0125,0.005,276.0
26,15.0,2022-05-18 00:00:00,70.0,156.0,202.0,3.0,74.0,0.45,4.0,0.0,162.0,0.7,38.29,5.41,8.36,1259.0,71.0,1220.0,7.0,647.0,0.0,0.02,0.005,420.0
